,date,sat,precip,temp,hum,wind,soil,OT,temp_f,hum_f,wind_f,precip_f
2,1/19/22 11:00,0,0.0,57.3,90.0,2.6,28.875,20.798333333333332,55.4,75.0,4.5,0.0
3,1/19/22 11:10,0,0.0,57.3,90.0,2.6,28.875,20.76,55.4,75.0,4.5,0.0
4,1/19/22 11:20,0,0.0,57.3,90.0,2.6,28.875,20.73944444444444,55.4,75.0,4.5,0.0
5,1/19/22 11:30,0,0.0,57.3,90.0,2.6,28.875,20.74333333333333,55.4,75.0,4.5,0.0
6,1/19/22 11:40,0,0.0,57.3,90.0,2.6,28.875,20.695555555555558,55.4,75.0,4.5,0.0
7,1/19/22 11:50,0,0.0,57.3,90.0,2.6,28.875,20.62611111111111,55.4,75.0,4.5,0.0
8,1/19/22 12:00,0,0.0,59.3,80.0,2.3,28.75,20.63722222222222,57.74,70.0,3.6,0.0
9,1/19/22 12:10,0,0.0,59.3,80.0,2.3,28.75,20.65111111111111,57.74,70.0,3.6,0.0
10,1/19/22 12:20,0,0.0,59.3,80.0,2.3,28.75,20.656111111111112,57.74,70.0,3.6,0.0
11,1/19/22 12:30,0,0.0,59.3,80.0,2.3,28.75,20.64777777777778,57.74,70.0,3.6,0.0
12,1/19/22 12:40,0,0.0,59.3,80.0,2.3,28.75,20.63611111111111,57.74,70.0,3.6,0.0
13,1/19/22 12:50,0,0.0,59.3,80.0,2.3,28.75,20.625555555555554,57.74,70.0,3.6,0.0
14,1/19/22 13:00,0,0.0,61.2,73.0,2.5,28.75,20.61277777777778,59.36,66.0,2.6,0.0
15,1/19/22 13:10,0,0.0,61.2,73.0,2.5,28.75,20.590555555555554,59.36,66.0,2.6,0.0
16,1/19/22 13:20,0,0.0,61.2,73.0,2.5,28.75,20.577222222222222,59.36,66.0,2.6,0.0
17,1/19/22 13:30,0,0.0,61.2,73.0,2.5,28.75,20.574444444444442,59.36,66.0,2.6,0.0
18,1/19/22 13:40,0,0.0,61.2,73.0,2.5,28.75,20.558333333333334,59.36,66.0,2.6,0.0
19,1/19/22 13:50,0,0.0,61.2,73.0,2.5,28.75,20.53944444444444,59.36,66.0,2.6,0.0
20,1/19/22 14:00,0,0.0,62.3,65.0,2.8,28.5,20.52777777777778,60.08,62.0,3.9,0.0
21,1/19/22 14:10,0,0.0,62.3,65.0,2.8,28.5,20.516111111111112,60.08,62.0,3.9,0.0
22,1/19/22 14:20,0,0.0,62.3,65.0,2.8,28.5,20.51,60.08,62.0,3.9,0.0
23,1/19/22 14:30,0,0.0,62.3,65.0,2.8,28.5,20.50611111111111,60.08,62.0,3.9,0.0
24,1/19/22 14:40,0,0.0,62.3,65.0,2.8,28.5,20.495555555555555,60.08,62.0,3.9,0.0
25,1/19/22 14:50,0,0.0,62.3,65.0,2.8,28.5,20.480555555555554,60.08,62.0,3.9,0.0
26,1/19/22 15:00,0,0.0,63.1,58.0,1.8,28.5,20.478333333333335,60.08,61.0,5.0,0.0
27,1/19/22 15:10,0,0.0,63.1,58.0,1.8,28.5,20.473888888888887,60.08,61.0,5.0,0.0
28,1/19/22 15:20,0,0.0,63.1,58.0,1.8,28.5,20.464444444444442,60.08,61.0,5.0,0.0
29,1/19/22 15:30,0,0.0,63.1,58.0,1.8,28.5,20.45611111111111,60.08,61.0,5.0,0.0
30,1/19/22 15:40,0,0.0,63.1,58.0,1.8,28.5,20.452222222222222,60.08,61.0,5.0,0.0
31,1/19/22 15:50,0,0.0,63.1,58.0,1.8,28.5,20.447777777777777,60.08,61.0,5.0,0.0
32,1/19/22 16:00,0,0.0,61.7,59.0,2.0,28.5,20.445000000000004,59.18,62.0,6.5,0.0
33,1/19/22 16:10,0,0.0,61.7,59.0,2.0,28.5,20.44,59.18,62.0,6.5,0.0
34,1/19/22 16:20,0,0.0,61.7,59.0,2.0,28.5,20.435,59.18,62.0,6.5,0.0
35,1/19/22 16:30,0,0.0,61.7,59.0,2.0,28.5,20.43388888888889,59.18,62.0,6.5,0.0
36,1/19/22 16:40,0,0.0,61.7,59.0,2.0,28.5,20.435000000000002,59.18,62.0,6.5,0.0
37,1/19/22 16:50,0,0.0,61.7,59.0,2.0,28.5,20.43166666666667,59.18,62.0,6.5,0.0
