date,sat,precip,temp,hum,wind,soil,OT,temp_f,hum_f,wind_f,precip_f
1/19/24 0:00,0,0.00,45.7,100,1.5,45.0,19.3,47.1,89.0,5.4,0.0
1/19/24 0:10,0,0.00,45.7,100,1.5,45.0,19.31,47.1,89.0,5.4,0.0
1/19/24 0:20,0,0.00,45.7,100,1.5,45.0,19.31,47.1,89.0,5.4,0.0
1/19/24 0:30,0,0.00,45.7,100,1.5,45.0,19.31,47.1,89.0,5.4,0.0
1/19/24 0:40,0,0.00,45.7,100,1.5,45.0,19.31,47.1,89.0,5.4,0.0
1/19/24 0:50,0,0.00,45.7,100,1.5,45.0,19.31,47.1,89.0,5.4,0.0
1/19/24 1:00,0,0.00,45.9,100,2.6,45.0,19.31,46.6,90.0,4.5,0.0
1/19/24 1:10,0,0.00,45.9,100,2.6,45.0,19.3,46.6,90.0,4.5,0.0
1/19/24 1:20,0,0.00,45.9,100,2.6,45.0,19.3,46.6,90.0,4.5,0.0
1/19/24 1:30,0,0.00,45.9,100,2.6,45.0,19.3,46.6,90.0,4.5,0.0
1/19/24 1:40,0,0.00,45.9,100,2.6,45.0,19.31,46.6,90.0,4.5,0.0
1/19/24 1:50,0,0.00,45.9,100,2.6,45.0,19.31,46.6,90.0,4.5,0.0
1/19/24 2:00,0,0.00,46.0,100,2.6,45.0,19.3,45.7,94.0,7.6,0.0
1/19/24 2:10,0,0.00,46.0,100,2.6,45.0,19.31,45.7,94.0,7.6,0.0
1/19/24 2:20,0,0.00,46.0,100,2.6,45.0,19.31,45.7,94.0,7.6,0.0
1/19/24 2:30,0,0.00,46.0,100,2.6,45.0,19.3,45.7,94.0,7.6,0.0
1/19/24 2:40,0,0.00,46.0,100,2.6,45.0,19.3,45.7,94.0,7.6,0.0
1/19/24 2:50,0,0.00,46.0,100,2.6,45.0,19.3,45.7,94.0,7.6,0.0
1/19/24 3:00,0,0.00,45.1,100,1.2,45.0,19.31,45.3,97.0,2.1,0.0
1/19/24 3:10,0,0.00,45.1,100,1.2,45.0,19.31,45.3,97.0,2.1,0.0
1/19/24 3:20,0,0.00,45.1,100,1.2,45.0,19.31,45.3,97.0,2.1,0.0
1/19/24 3:30,0,0.00,45.1,100,1.2,45.0,19.31,45.3,97.0,2.1,0.0
