date,sat,precip,temp,hum,wind,soil,OT,temp_f,hum_f,precip_f,wind_f
2023-02-28 01:00:00,0,0.0,36.1,98,1.2,25.0,15.08,40.3,90.0,0.0,3.0
2023-02-28 01:10:00,0,0.0,36.1,98,1.2,25.0,15.08,40.03333333333333,90.0,0.0,3.066666666666667
2023-02-28 01:20:00,0,0.0,36.1,98,1.2,25.0,15.09,39.9,90.0,0.0,3.1666666666666665
2023-02-28 01:30:00,0,0.0,36.1,98,1.2,25.0,15.09,39.9,90.0,0.0,3.3
2023-02-28 01:40:00,0,0.0,36.1,98,1.2,25.0,15.1,39.766666666666666,90.66666666666667,0.0,3.433333333333333
2023-02-28 01:50:00,0,0.0,36.1,98,1.2,25.0,15.11,39.66666666666667,91.0,0.0,3.433333333333333
2023-02-28 02:00:00,0,0.0,36.4,98,1.3,25.125,15.11,39.6,91.0,0.0,3.3
2023-02-28 02:10:00,0,0.0,36.4,98,1.3,25.125,15.12,39.6,91.0,0.0,2.9
2023-02-28 02:20:00,0,0.0,36.4,98,1.3,25.125,15.12,39.53333333333333,91.33333333333333,0.0,2.3666666666666667
2023-02-28 02:30:00,0,0.0,36.4,98,1.3,25.125,15.12,39.4,92.0,0.0,1.7
2023-02-28 02:40:00,0,0.0,36.4,98,1.3,25.125,15.13,39.4,92.0,0.0,1.3
2023-02-28 02:50:00,0,0.0,36.4,98,1.3,25.125,15.13,39.333333333333336,92.0,0.0,1.1333333333333333
2023-02-28 03:00:00,0,0.0,37.6,98,2.1,25.25,15.13,39.2,92.0,0.0,1.2
2023-02-28 03:10:00,0,0.0,37.6,98,2.1,25.25,15.14,38.93333333333333,92.0,0.0,1.3333333333333333
2023-02-28 03:20:00,0,0.0,37.6,98,2.1,25.25,15.14,38.8,92.0,0.0,1.4666666666666666
2023-02-28 03:30:00,0,0.0,37.6,98,2.1,25.25,15.14,38.8,92.0,0.0,1.6
2023-02-28 03:40:00,0,0.0,37.6,98,2.1,25.25,15.14,38.733333333333334,92.0,0.0,1.8666666666666667
2023-02-28 03:50:00,0,0.0,37.6,98,2.1,25.25,15.14,38.63333333333333,92.0,0.0,2.2
2023-02-28 04:00:00,0,0.0,37.5,98,1.8,25.0,15.14,38.5,92.0,0.0,2.6
2023-02-28 04:10:00,0,0.0,37.5,98,1.8,25.0,15.14,38.63333333333333,92.0,0.0,2.8666666666666667
2023-02-28 04:20:00,0,0.0,37.5,98,1.8,25.0,15.14,38.800000000000004,92.33333333333333,0.0,3.3
2023-02-28 04:30:00,0,0.0,37.5,98,1.8,25.0,15.14,39.0,93.0,0.0,3.9
2023-02-28 04:40:00,0,0.0,37.5,98,1.8,25.0,15.14,39.266666666666666,93.0,0.0,4.3
2023-02-28 04:50:00,0,0.0,37.5,98,1.8,25.0,15.14,39.46666666666667,93.0,0.0,4.566666666666666
2023-02-28 05:00:00,0,0.0,38.4,98,2.7,25.125,15.14,39.6,93.0,0.0,4.7
2023-02-28 05:10:00,0,0.0,38.4,98,2.7,25.125,15.14,39.8,92.33333333333333,0.0,4.366666666666667
2023-02-28 05:20:00,0,0.0,38.4,98,2.7,25.125,15.15,40.03333333333333,91.66666666666667,0.0,4.066666666666666
2023-02-28 05:30:00,0,0.0,38.4,98,2.7,25.125,15.15,40.3,91.0,0.0,3.8
2023-02-28 05:40:00,0,0.0,38.4,98,2.7,25.125,15.15,40.43333333333333,90.33333333333333,0.0,3.6666666666666665
2023-02-28 05:50:00,0,0.0,38.4,98,2.7,25.125,15.15,40.5,89.66666666666667,0.0,3.6
2023-02-28 06:00:00,0,0.0,38.8,97,2.2,25.375,15.16,40.5,89.0,0.0,3.6
2023-02-28 06:10:00,0,0.0,38.8,97,2.2,25.375,15.16,40.56666666666667,89.0,0.0,3.666666666666667
2023-02-28 06:20:00,0,0.0,38.8,97,2.2,25.375,15.15,40.6,88.66666666666667,0.0,3.7
2023-02-28 06:30:00,0,0.0,38.8,97,2.2,25.375,15.15,40.6,88.0,0.0,3.7
2023-02-28 06:40:00,0,0.0,38.8,97,2.2,25.375,15.15,40.6,88.0,0.0,3.7666666666666666
2023-02-28 06:50:00,0,0.0,38.8,97,2.2,25.375,15.15,40.56666666666667,88.0,0.0,3.9666666666666663
2023-02-28 07:00:00,0,0.0,39.2,96,2.6,25.5,15.15,40.5,88.0,0.0,4.3
2023-02-28 07:10:00,0,0.0,39.2,96,2.6,25.5,15.15,40.5,88.0,0.0,4.566666666666666
2023-02-28 07:20:00,0,0.0,39.2,96,2.6,25.5,15.15,40.36666666666667,87.66666666666667,0.0,4.866666666666667
2023-02-28 07:30:00,0,0.0,39.2,96,2.6,25.5,15.15,40.1,87.0,0.0,5.2
2023-02-28 07:40:00,0,0.0,39.2,96,2.6,25.5,15.15,39.96666666666667,87.0,0.0,5.466666666666667
2023-02-28 07:50:00,0,0.0,39.2,96,2.6,25.5,15.16,39.96666666666667,87.0,0.0,5.7
2023-02-28 08:00:00,0,0.0,40.6,93,1.7,25.625,15.16,40.1,87.0,0.0,5.9
2023-02-28 08:10:00,0,0.0,40.6,93,1.7,25.625,15.16,40.43333333333334,87.66666666666667,0.0,5.633333333333334
